OBS,CITY,TMR,SMIN,SMEAN,SMAX,PMIN,PMEAN,PMAX,PM2,PERWH,NONPOOR,GE65,LPOP
1,PROVIDEN,1096,30,163,349,56,119,223,116.1,97.9,83.9,0.109,5.85645
2,JACKSON,789,29,70,161,27,74,124,21.3,60,69.1,0.064,5.27195
3,JOHNSTOW,1072,88,123,245,70,166,452,15.8,98.7,73.3,0.103,5.44829
4,JERSEY_C,1199,155,229,340,63,147,253,1357.2,93.1,87.3,0.103,5.78585
5,HUNTINGT,967,60,70,137,56,122,219,18.1,97,73.2,0.093,5.40617
6,DES_MOIN,950,31,88,188,61,183,329,44.8,95.9,87.1,0.097,5.4254
7,DENVER,841,2,61,188,54,126,229,25.4,95.8,86.9,0.082,5.96819
8,READING,1113,50,94,186,34,120,242,31.9,98.2,86.1,0.112,5.43999
9,TOLEDO,1031,67,86,309,52,104,193,133.2,90.5,86.1,0.098,5.65985
10,FRESNO,845,18,34,198,45,119,304,6.1,92.5,78.5,0.081,5.56342
11,MEMPHIS,873,35,48,69,46,102,201,83.5,63.6,72.5,0.073,5.79728
12,YORK,957,120,162,488,28,147,408,26.2,97.7,84.8,0.097,5.37719
13,MILWAUKE,921,65,134,236,49,150,299,150.2,94.4,90.4,0.088,6.07711
14,SAVANNAH,990,49,71,120,46,82,192,42.7,65.9,72,0.065,5.27485
15,OMAHA,922,20,74,148,39,107,198,29.9,94,86.4,0.09,5.66075
16,TOPEKA,904,19,37,91,52,101,158,25.9,92.7,84.1,0.099,5.1501
17,COLUMBUS,877,94,161,276,74,119,190,127.2,88.1,86.3,0.079,5.8344
18,BEAUMONT,728,27,71,144,32,76,190,23.5,79.3,79.9,0.058,5.48574
19,WINSTON,802,28,58,128,72,147,306,44.7,75.8,79.9,0.062,5.27744
20,DETROIT,817,52,128,260,59,146,235,191.5,84.9,86.5,0.072,6.57546
21,EL_PASO,618,47,87,207,49,150,373,29.8,96.7,77.9,0.045,5.49703
22,MACON,869,18,27,128,22,122,754,28.6,69,73.7,0.062,5.25624
23,ROCKFORD,842,33,66,210,36,86,143,40.3,95.8,88.2,0.085,5.32173
24,JACKSON,928,41,52,138,39,77,124,18.7,94.3,86.5,0.09,5.12055
25,FALL_RIV,1157,62,79,136,18,102,254,71.7,98.7,82.9,0.116,5.60042
26,BOSTON,1112,42,163,337,55,141,252,174.5,97.3,88.5,0.109,6.49275
27,DAYTON,847,18,106,241,50,132,327,53.9,89.8,87.1,0.074,5.84175
28,CHARLOTT,791,43,81,147,62,124,234,50.2,75.4,79.5,0.057,5.43475
29,MIAMI,897,44,57,68,33,54,124,45.5,85.1,77.2,0.1,5.97083
30,BRIDGEPO,938,137,205,308,32,91,182,103.3,94.7,90.7,0.094,5.8153
31,SIOUX_FA,795,18,55,121,25,108,358,10.6,99.3,82.4,0.092,4.93739
32,CHICAGO,1000,75,166,328,88,182,296,167.5,85.2,89.4,0.086,6.79385
33,SOUTH_BE,888,73,77,261,28,90,164,51.1,94,88.4,0.084,5.3777
34,NORFOLK,803,49,112,198,39,89,242,86.7,73.6,73.1,0.053,5.76231
35,CLEVELAN,969,69,160,282,86,174,336,261.1,85.5,88.6,0.089,6.25445
36,AUSTIN,689,40,46,58,10,78,157,20.9,87.2,75.2,0.076,5.32661
37,KNOXVILL,825,56,77,157,28,135,302,25.8,92.5,72.5,0.074,5.56594
38,INDIANAP,969,50,139,269,92,178,275,173.5,85.6,87.2,0.085,5.84359
39,NASHVIL,919,54,160,362,45,130,310,75.1,80.8,76.5,0.079,5.60178
40,SEATTLE,938,1,47,179,32,69,141,26.2,95.2,88.8,0.096,6.04423
41,DALLAS,757,31,69,148,22,96,230,29.7,85.4,81.4,0.071,6.03487
42,MOBILE,823,47,67,248,29,129,284,25.3,67.7,74.6,0.057,5.49735
43,PHOENIX,758,15,86,266,98,247,573,7.2,94.5,80.9,0.072,5.82185
44,AUGUSTA,823,31,46,158,28,66,142,15.2,70.2,67.8,0.06,5.33574
45,YOUNGSTO,915,75,145,263,58,148,371,49,90.8,87.1,0.089,5.70672
46,CHATTANO,940,10,105,191,69,186,361,27.7,82.4,74,0.077,5.45205
47,GALVESTO,873,62,72,86,23,55,125,32.7,78.6,76.8,0.064,5.14726
48,FORT_WOR,789,9,32,73,28,79,152,35.8,89.3,80.7,0.073,5.75832
49,FLINT,747,64,80,229,49,124,468,58.2,90.1,87.8,0.062,5.57323
50,CHARLEST,780,15,283,940,55,225,958,27.9,94.2,78.6,0.07,5.40299
