state,fatrate,drink,gas,drivers,density,jantemp,gasper,postal
Connecti,2.3,18,1.5,1.9,624,22,0.7894736842,CT
Florida,3.2,18,5,6.8,125,45,0.7352941176,FL
Georgia,3.3,18,3.5,3.4,79,33,1.0294117647,GA
Hawaii,4,18,0.3,0.5,120,65,0.6,HI
Lousiana,4.6,18,2.3,2.3,81,44,1,LA
New_Jers,2.2,18,3.6,3.4,953,24,1.0588235294,NJ
New_York,3.6,18,6.2,9.2,381,26,0.6739130435,NY
Rhode_Is,1.7,18,0.4,0.6,906,25,0.6666666667,RI
Texas,4,18,9.5,8.5,43,38,1.1176470588,TX
Vermont,3.4,18,0.3,0.4,48,8,0.75,VT
West_Vir,4,18,1,1.4,73,24,0.7142857143,WV
Wisconsi,3.1,18,2.6,2.9,81,10,0.8965517241,WI
Alabama,4.2,19,2.4,2.2,68,40,1.0909090909,AL
Alaska,4.7,19,0.2,0.2,1,18,1,AK
Arizona,5.3,19,1.6,1.5,16,38,1.0666666667,AZ
Idaho,4.8,19,0.6,0.6,9,21,1,ID
Iowa,3,19,1.9,2,51,11,0.95,IA
Minnesot,3.3,19,2.3,2.6,48,3,0.8846153846,MN
Montana,4,19,0.6,0.5,5,8,1.2,MT
Nebraska,2.9,19,1,1,19,12,1,NE
Wyoming,5.4,19,0.4,0.3,3,15,1.3333333333,WY
Delaware,3.3,20,0.3,0.4,277,24,0.75,DE
Maine,3.1,20,0.6,0.7,32,12,0.8571428571,ME
Massachu,2.7,20,2.6,3.7,727,23,0.7027027027,MA
New_Hamp,2.8,20,0.5,0.6,82,10,0.8333333333,NH
Tennesse,3.3,20,2.9,2.6,95,29,1.1153846154,TN
Arkansas,3.6,21,1.5,1.4,37,29,1.0714285714,AK
Californ,3.4,21,12.6,15.1,128,47,0.8344370861,CA
Colorado,3.5,21,1.6,2,21,16,0.8,CO
Illinois,3,21,5.8,6.9,199,17,0.8405797101,IL
Indiana,2.9,21,3.3,3.6,145,20,0.9166666667,IN
Kansas,3.5,21,1.5,1.8,28,21,0.8333333333,KS
Kentucky,3.2,21,2.1,2,81,25,1.05,KE
Maryland,2.5,21,2.2,2.6,397,25,0.8461538462,MD
Michigan,3.2,21,5.3,6.3,156,19,0.8412698413,MI
Mississi,4.8,21,1.6,1.6,47,41,1,MS
Missouri,3.5,21,3.1,3.2,68,23,0.96875,MO
Nevada,5.6,21,0.5,0.5,4,16,1,NV
New_Mexi,5.8,21,0.9,0.8,8,24,1.125,NM
North_Ca,3.6,21,3.5,3.6,104,32,0.9722222222,NC
North_Da,3.7,21,0.4,0.4,9,-3,1,ND
Ohio,2.9,21,6,8.7,260,22,0.6896551724,OH
Oklahoma,3.5,21,2,1.9,37,26,1.0526315789,OK
Oregon,3.9,21,1.6,1.8,22,33,0.8888888889,OR
Pennsylv,3,21,5.8,7.1,262,23,0.8169014085,PA
South_Ca,3.8,21,1.9,1.8,86,37,1.0555555556,SC
South_Da,3.4,21,0.5,0.5,9,2,1,SD
Utah,3.9,21,0.8,0.8,13,19,1,UT
Virginia,2.7,21,3.1,3.4,117,32,0.9117647059,VA
Washingt,3.5,21,2.2,2.4,51,25,0.9166666667,WA
