obs  state     fatrate  drink   gas  drivers  density  jantemp   gasper  postal
  1  Connecti    2.3      18    1.5     1.9     624       22    0.78947    CT  
  2  Florida     3.2      18    5.0     6.8     125       45    0.73529    FL  
  3  Georgia     3.3      18    3.5     3.4      79       33    1.02941    GA  
  4  Hawaii      4.0      18    0.3     0.5     120       65    0.60000    HI  
  5  Lousiana    4.6      18    2.3     2.3      81       44    1.00000    LA  
  6  NewJers    2.2      18    3.6     3.4     953       24    1.05882    NJ  
  7  NewYork    3.6      18    6.2     9.2     381       26    0.67391    NY  
  8  RhodeIs    1.7      18    0.4     0.6     906       25    0.66667    RI  
  9  Texas       4.0      18    9.5     8.5      43       38    1.11765    TX  
 10  Vermont     3.4      18    0.3     0.4      48        8    0.75000    VT  
 11  WestVir    4.0      18    1.0     1.4      73       24    0.71429    WV  
 12  Wisconsi    3.1      18    2.6     2.9      81       10    0.89655    WI  
 13  Alabama     4.2      19    2.4     2.2      68       40    1.09091    AL  
 14  Alaska      4.7      19    0.2     0.2       1       18    1.00000    AK  
 15  Arizona     5.3      19    1.6     1.5      16       38    1.06667    AZ  
 16  Idaho       4.8      19    0.6     0.6       9       21    1.00000    ID  
 17  Iowa        3.0      19    1.9     2.0      51       11    0.95000    IA  
 18  Minnesot    3.3      19    2.3     2.6      48        3    0.88462    MN  
 19  Montana     4.0      19    0.6     0.5       5        8    1.20000    MT  
 20  Nebraska    2.9      19    1.0     1.0      19       12    1.00000    NE  
 21  Wyoming     5.4      19    0.4     0.3       3       15    1.33333    WY  
 22  Delaware    3.3      20    0.3     0.4     277       24    0.75000    DE  
 23  Maine       3.1      20    0.6     0.7      32       12    0.85714    ME  
 24  Massachu    2.7      20    2.6     3.7     727       23    0.70270    MA  
 25  NewHamp    2.8      20    0.5     0.6      82       10    0.83333    NH  
 26  Tennesse    3.3      20    2.9     2.6      95       29    1.11538    TN  
 27  Arkansas    3.6      21    1.5     1.4      37       29    1.07143    AK  
 28  Californ    3.4      21   12.6    15.1     128       47    0.83444    CA  
 29  Colorado    3.5      21    1.6     2.0      21       16    0.80000    CO  
 30  Illinois    3.0      21    5.8     6.9     199       17    0.84058    IL  
 31  Indiana     2.9      21    3.3     3.6     145       20    0.91667    IN  
 32  Kansas      3.5      21    1.5     1.8      28       21    0.83333    KS  
 33  Kentucky    3.2      21    2.1     2.0      81       25    1.05000    KE  
 34  Maryland    2.5      21    2.2     2.6     397       25    0.84615    MD  
 35  Michigan    3.2      21    5.3     6.3     156       19    0.84127    MI  
 36  Mississi    4.8      21    1.6     1.6      47       41    1.00000    MS  
 37  Missouri    3.5      21    3.1     3.2      68       23    0.96875    MO  
 38  Nevada      5.6      21    0.5     0.5       4       16    1.00000    NV  
 39  NewMexi    5.8      21    0.9     0.8       8       24    1.12500    NM  
 40  NorthCa    3.6      21    3.5     3.6     104       32    0.97222    NC  
 41  NorthDa    3.7      21    0.4     0.4       9       -3    1.00000    ND  
 42  Ohio        2.9      21    6.0     8.7     260       22    0.68966    OH  
 43  Oklahoma    3.5      21    2.0     1.9      37       26    1.05263    OK  
 44  Oregon      3.9      21    1.6     1.8      22       33    0.88889    OR  
 45  Pennsylv    3.0      21    5.8     7.1     262       23    0.81690    PA  
 46  SouthCa    3.8      21    1.9     1.8      86       37    1.05556    SC  
 47  SouthDa    3.4      21    0.5     0.5       9        2    1.00000    SD  
 48  Utah        3.9      21    0.8     0.8      13       19    1.00000    UT  
 49  Virginia    2.7      21    3.1     3.4     117       32    0.91176    VA  
 50  Washingt    3.5      21    2.2     2.4      51       25    0.91667    WA  
