obs,size,pov,unemp,police,crime,budget
1,13.5108,26.9927,8.462,0.2963,38.509,-1.64653
2,11.137,20.3522,8.2962,16.912,41.228,-1.32314
3,20.6479,17.4922,7.5738,11.0607,67.133,-0.03754
4,21.6762,11.6731,10.8796,7.263,108.788,-1.29689
5,22.6259,30.1804,4.8899,22.8747,145.445,1.03891
6,29.1481,15.153,10.4149,24.8677,19.312,0.5534
7,13.9891,20.6913,9.0014,21.869,43.927,-0.08655
8,14.4388,25.8616,10.2726,4.2556,80.253,-2.96256
9,17.7239,20.5449,10.7004,20.4126,107.539,1.69549
10,12.9847,17.6957,11.4173,8.1604,146.698,-1.8637
11,26.3614,22.9194,7.3068,37.2685,44.569,-1.66112
12,11.7327,23.1393,10.5659,9.6502,119.338,-2.38315
13,21.6455,11.6247,8.2409,3.7029,71.118,1.09359
14,21.9846,18.9847,11.6323,5.1017,105.327,-1.21136
15,20.8068,13.8908,7.8478,45.4511,74.601,-1.5319
16,22.8684,20.0149,9.5886,20.6396,61.525,-0.59986
17,10.972,22.1437,7.5591,23.7535,67.677,-0.08449
18,25.633,13.2301,6.4896,27.0755,15.913,0.21295
19,18.8245,25.381,19.4963,36.3285,67.245,-0.49818
20,23.0745,24.1312,12.7799,30.7481,82.531,-0.75744
21,27.1067,20.2175,14.1174,4.1978,43.262,-1.63908
22,24.6852,24.533,17.1229,12.5686,151.409,-0.08337
23,26.9225,19.6311,17.3837,13.4896,129.508,-1.12992
24,26.2842,15.1844,14.8318,44.2714,65.029,1.16257
25,21.546,16.2334,22.3822,39.989,84.01,0.17179
26,16.4832,23.0084,13.6826,24.008,50.585,-1.3728
27,16.8566,28.5469,19.3358,11.776,176.74,-1.03464
28,22.7873,27.0511,14.66,12.6011,218.786,-1.07646
29,10.2951,22.6557,16.7485,29.275,93.814,-3.21776
30,16.1433,24.8645,24.0875,27.928,39.84,-1.6619
31,21.3287,27.662,15.8216,18.3099,141.919,-3.72365
32,21.111,20.4164,18.1967,15.655,73.006,-0.19056
33,13.2091,23.0319,12.6239,29.6756,110.483,-0.37854
34,28.1435,26.2258,15.7331,35.6477,192.979,-0.75547
35,23.7457,22.6464,20.4996,23.0432,62.19,-2.56965
36,11.0375,26.6292,18.6924,20.7471,106.321,-0.6174
37,26.7388,21.8246,12.9065,28.843,121.017,-2.19288
38,28.9797,21.1867,14.5192,60.9963,128.216,-2.51521
39,26.7108,20.7041,17.2368,34.1949,77.255,0.38384
40,29.3035,21.1096,14.9949,22.4222,115.802,1.65276
41,26.6514,27.3892,17.142,13.6221,116.066,-1.7622
42,20.064,16.7722,14.025,33.992,17.435,0.01713
43,24.218,23.2102,12.0436,19.8377,50.503,-0.84851
44,18.7873,25.9901,19.2386,31.5296,62.659,-0.84028
45,17.9565,19.5549,16.3626,33.8073,39.23,-0.2054
46,23.2415,22.0098,17.6379,13.3977,184.16,0.90248
47,28.2691,12.7629,18.6647,24.2754,135.362,-0.67308
48,18.6652,27.3606,20.3361,23.6373,48.69,-0.95431
49,20.1854,24.4646,16.8403,31.3689,106.509,0.56596
50,23.7368,22.8892,16.0533,35.6722,103.356,-1.05787
51,19.2738,23.4382,14.4028,15.595,109.43,-2.45557
52,24.2388,19.8766,16.8364,35.5581,26.724,-2.12528
53,38.7948,19.6917,7.6499,29.8183,192.865,-1.96425
54,40.5947,30.4435,9.5563,22.3622,62.541,-2.78436
55,38.329,26.175,10.6631,56.6568,127.287,-5.02945
56,37.3727,20.9714,9.1956,23.1367,111.173,0.93552
57,30.9762,16.2447,8.4011,36.748,129.88,1.65905
58,33.1183,9.509,7.4159,35.6887,83.086,-1.64684
59,33.2874,21.8951,11.5223,33.8438,99.467,-3.10074
60,39.8163,31.6155,11.5804,39.1972,140.746,-2.65238
61,38.8997,15.0076,11.246,32.0567,125.449,-1.59806
62,36.4483,16.6542,11.6041,38.7929,60.791,-2.19962
63,33.9269,23.2221,11.0354,39.682,95.25,-3.63746
64,33.6064,14.036,5.2433,24.157,50.988,-0.15142
65,37.6216,25.3128,6.7863,18.6533,180.218,-1.9044
66,38.4454,20.7488,8.2874,25.814,140.292,-3.15422
67,34.6265,24.3185,10.8561,43.5414,116.828,-1.59017
68,32.735,18.6268,7.4925,26.1274,134.13,-0.20988
69,43.5188,27.36,7.7158,44.8037,116.368,-3.45355
70,39.2032,25.7306,10.8082,31.0294,97.326,-0.56394
71,33.6813,20.1236,10.069,41.7637,100.821,-1.71689
72,44.2401,19.2623,11.2175,25.6802,121.015,-2.45405
73,40.818,21.2407,11.3679,42.2105,117.516,-3.22442
74,34.3484,19.0394,10.3476,22.9621,126.767,-0.66471
75,31.0796,19.0863,15.2155,32.0167,108.15,-1.32651
76,41.2401,20.3236,12.7905,13.1587,77.796,-0.60857
77,36.9192,28.1343,16.5005,35.7512,158.029,-1.26201
