SEX,AGE,HEIGHT,WEIGHT
F,14.3,56.3,85
F,15.5,62.3,105
F,15.3,63.3,108
F,16.1,59,92
F,19.1,62.5,112.5
F,17.1,62.5,112
F,18.5,59,104
F,14.2,56.5,69
F,16,62,94.5
F,14,53.8,68.5
F,13.9,61.5,104
F,17.8,61.5,103.5
F,15.7,64.5,123.5
F,14.9,58.3,93
F,14.3,51.3,50.5
F,14.5,58.8,89
F,19.1,65.3,107
F,15,59.5,78.5
F,14.7,61.3,115
F,18,63.3,114
F,14.1,61.8,85
F,14,53.5,81
F,16.4,58,83.5
F,17.6,61.3,112
F,18.5,63.3,101
F,16.6,61.5,103.5
F,17.5,60.8,93.5
F,18,59,112
F,21,65.5,140
F,14.6,56.3,83.5
F,17,64.3,90
F,16.2,58,84
F,14.9,64.3,110.5
F,13.9,57.5,96
F,18.6,57.8,95
F,19.7,61.5,121
F,16.9,62.3,99.5
F,17.7,61.8,142.5
F,18.5,65.3,118
F,18.2,58.3,104.5
F,17.3,62.8,102.5
F,16.6,59.3,89.5
F,16.8,61.5,95
F,16.9,62,98.5
F,15,61.3,94
F,18.4,62.3,108
F,13.9,52.8,63.5
F,14.7,59.8,84.5
F,14.4,59.5,93.5
F,17.7,61.3,112
F,17.8,63.5,148.5
F,19.7,64.8,112
F,14.6,60,109
F,14.5,59,91.5
F,14.7,55.8,75
F,14.5,57.8,84
F,15.5,61.3,107
F,16.7,62.3,92.5
F,18.3,64.3,109.5
F,14.3,55.5,84
F,18.3,64.5,102.5
F,18.5,60,106
F,14.8,56.3,77
F,14.7,58.3,111.5
F,15.4,60,114
F,15.6,54.5,75
F,14.4,55.8,73.5
F,15.4,62.8,93.5
F,15.2,60.5,105
F,19.1,63.3,113.5
F,19,66.8,140
F,14,60,77
F,14.8,60.5,84.5
F,18.9,64.3,113.5
F,14.3,58.3,77.5
F,17.8,66.5,117.5
F,16.4,65.3,98
F,15.7,60.5,112
F,14.7,59.5,101
F,14.8,59,95
F,17.7,61.3,81
F,17.1,61.5,91
F,17.2,64.8,142
F,19,56.8,98.5
F,18.3,66.5,112
F,14.3,61.5,116.5
F,17.9,63,98.5
F,18.6,57,83.5
F,18.2,65.5,133
F,18.2,62,91.5
F,14.2,56,72.5
F,16.5,61.3,106.5
F,16.5,55.5,67
F,15.4,61,122.5
F,15,54.5,74
F,15.5,66,144.5
F,16.3,56.5,84
F,14.1,56,72.5
F,14.7,51.5,64
F,21,62,116
F,17.1,63,84
F,16.7,61,93.5
F,18.2,64,111.5
F,14.4,61,92
F,19.3,59.8,115
F,14.1,61.3,85
F,16.4,63.3,108
F,18.6,63.5,108
F,16.9,61.5,85
F,17.5,60.3,86
F,18,61.3,110.5
M,16.5,64.8,98
M,15.7,60.5,105
M,14.4,57.3,76.5
M,15,59.5,84
M,15,60.8,128
M,13.9,60.5,87
M,18.9,67,128
M,18.3,64.8,111
M,14.7,50.5,79
M,14.6,57.5,90
M,16,60.5,84
M,15.6,61.8,112
M,17.3,61.3,93
M,15.1,66.3,117
M,14.1,53.3,84
M,15,59,99.5
M,16.4,57.8,95
M,15.3,60,84
M,20.6,68.3,134
M,25,67.5,171.5
M,17.6,63.8,98.5
M,17.6,65,118.5
M,14,59.5,94.5
M,18.5,66,105
M,18,61.8,104
M,14.6,57.3,83
M,18.3,66,105.5
M,14,56.5,84
M,15.1,58.3,86
M,15.1,61,81
M,14.4,62.8,94
M,16,59.3,78.5
M,17.8,67.3,119.5
M,19.3,66.3,133
M,16.2,64.5,119
M,16.4,60.5,95
M,18.6,66,112
M,14.3,57.5,75
M,17.5,64,92
M,17.5,68,112
M,17.5,63.5,98.5
M,17.3,69,112.5
M,17,63.8,112.5
M,17.4,66,108
M,16.4,63.5,108
M,14.4,59.5,88
M,15.6,66.3,106
M,14.9,57,92
M,14.4,60,117.5
M,14.7,57,84
M,18.8,67.3,112
M,16.9,62,100
M,17.2,65,112
M,15,59.5,84
M,19.3,67.8,127.5
M,15.7,58,80.5
M,16.8,60,93.5
M,14,58.5,86.5
M,15.6,58.3,92.5
M,15.6,61.5,108.5
M,15.8,65,121
M,18.4,66.5,112
M,15.6,68.5,114
M,14.4,57,84
M,17.6,61.5,81
M,16.8,66.5,111.5
M,14.9,52.5,81
M,14.2,55,70
M,18.8,71,140
M,20.3,66.5,117
M,14.2,58.8,84
M,18.9,66.3,112
M,18.8,65.8,150.5
M,20,71,147
M,15.2,59.5,105
M,17.4,69.8,119.5
M,16.6,62.5,84
M,14.5,56.5,91
M,14.3,57.5,101
M,16.3,65.3,117.5
M,16.6,67.3,121
M,18.2,67,133
M,17.3,66,112
M,15.5,61.8,91.5
M,16.2,60,105
M,17.7,63,111
M,17.7,60.5,112
M,17.5,65.5,114
M,16.6,62,91
M,15,59,98
M,15,61.8,118
M,18.8,63.3,115.5
M,16.3,66,112
M,17.1,61.8,112
M,16.2,63,91
M,14.1,57.5,85
M,17.4,63,112
M,14.2,56,87.5
M,14.8,60.5,118
M,14,56.8,83.5
M,16,64,116
M,14.4,60,89
M,20.6,69.5,171.5
M,15.9,63.3,112
M,14.9,56.3,72
M,19.3,72,150
M,19.4,65.3,134.5
M,15.2,60.8,97
M,14.6,55,71.5
M,13.9,55,73.5
M,18.6,66.5,112
M,16.1,56.8,75
M,15.3,64.8,128
M,19.6,64.5,98
M,16.4,58,84
M,15.9,62.8,99
M,17.8,63.8,112
M,15.3,57.8,79.5
M,15.5,57.3,80.5
M,17.8,63.5,102.5
M,14.2,55,76
M,16.4,66.5,112
M,18.9,65,114
M,16.4,61.5,140
M,16.7,62,107.5
M,15.1,59.3,87
