NURSERY,COLLEGE,PEABODY,KINDER
no,both,65,59
no,both,84,79
no,one,76,69
no,one,71,63
no,one,72,68
no,one,87,81
no,one,60,58
no,one,63,51
no,one,94,80
no,one,74,70
no,one,74,66
no,one,69,64
no,none,64,59
no,none,64,56
no,none,63,59
no,none,67,59
no,none,66,60
no,none,82,77
no,none,66,63
no,none,65,63
yes,both,79,67
yes,both,96,88
yes,both,86,76
yes,one,85,73
yes,one,87,78
yes,one,83,74
yes,one,74,67
yes,one,64,63
yes,one,78,67
yes,one,75,75
yes,one,80,70
yes,one,51,48
yes,one,75,66
yes,one,82,74
yes,one,72,60
yes,one,74,65
yes,one,90,70
yes,one,72,55
yes,none,87,80
yes,none,81,73
yes,none,72,65
yes,none,77,75
yes,none,60,63
yes,none,70,61
yes,none,80,74
yes,none,88,82
yes,none,80,81
yes,none,75,64
yes,none,78,66
yes,none,74,56
