SEX,HSGPA,HSSTUDY1,HSSTUDY2,SLFRAT01,SLFRAT03,SLFRAT14,SATV,SATM,RESIDE,GENDER,RSATV,RSATM
1,7,6,5,4,3,4,63,65,N,-1,63,65
1,3,6,6,4,4,3,54,68,N,-1,58,66
1,4,6,6,4,3,2,48,58,N,-1,48,58
1,5,6,7,4,4,2,43,67,N,-1,43,67
1,5,6,5,4,4,3,53,67,N,-1,53,67
1,5,6,6,4,3,4,50,60,N,-1,50,60
1,5,6,6,4,4,3,50,65,N,-1,50,65
1,5,6,6,3,3,3,51,59,N,-1,50,58
1,4,6,6,4,2,2,56,60,N,-1,56,60
1,5,6,5,4,3,3,46,62,N,-1,47,61
1,6,6,6,4,4,4,55,68,N,-1,55,68
1,4,6,5,5,5,4,62,68,N,-1,62,68
1,5,6,6,4,4,3,48,53,R,-1,48,53
1,7,6,5,4,3,3,59,59,N,-1,59,59
1,6,6,6,4,3,4,65,45,R,-1,60,43
1,6,6,6,4,4,4,61,40,N,-1,59,52
1,7,6,6,4,4,4,52,59,N,-1,52,59
1,4,6,6,4,4,3,51,62,N,-1,51,62
1,6,6,6,4,5,3,42,58,N,-1,37,57
1,5,6,6,4,4,3,51,62,N,-1,51,62
1,5,6,6,3,3,3,39,64,N,-1,39,63
1,7,6,7,4,3,2,49,57,N,-1,47,59
1,5,6,6,4,4,4,53,60,R,-1,53,60
1,6,6,6,4,4,3,40,78,R,-1,40,78
1,8,6,6,4,3,3,44,47,N,-1,49,48
1,5,6,7,4,3,4,44,46,N,-1,44,46
1,3,6,6,3,4,2,44,69,N,-1,44,69
1,3,6,7,4,4,3,58,62,N,-1,55,65
1,4,6,7,5,2,4,54,60,N,-1,55,59
1,5,6,5,3,3,3,54,46,N,-1,54,49
1,5,6,7,4,5,4,58,61,N,-1,58,61
1,7,6,6,5,5,5,54,65,N,-1,54,65
1,5,5,6,4,4,2,43,62,N,-1,44,62
1,5,6,6,4,4,4,54,62,N,-1,54,62
1,5,6,6,4,5,4,46,53,N,-1,39,53
1,7,6,6,5,3,5,59,67,N,-1,59,67
1,4,6,6,4,5,5,45,52,R,-1,45,52
1,8,6,5,4,5,4,45,59,R,-1,45,59
1,6,6,6,4,5,4,52,62,R,-1,53,63
1,7,6,6,5,5,5,47,67,R,-1,47,67
1,7,6,6,4,5,4,57,61,R,-1,57,60
1,6,6,6,4,4,3,54,59,R,-1,54,59
1,5,7,6,4,5,5,55,66,R,-1,49,64
1,7,6,7,4,4,4,51,61,R,-1,51,61
1,3,6,6,3,2,3,48,66,R,-1,48,66
1,6,6,7,3,3,3,46,54,R,-1,43,59
1,8,6,7,4,4,3,55,65,R,-1,57,65
1,7,6,6,4,4,4,60,62,R,-1,62,60
1,8,6,5,5,5,5,54,62,R,-1,53,62
1,7,6,6,5,4,2,44,68,R,-1,44,68
1,0,6,6,4,5,4,56,65,R,-1,52,63
1,6,7,0,4,4,4,61,56,R,-1,56,61
1,4,6,6,5,3,4,51,64,R,-1,51,64
1,6,5,5,0,2,4,52.5,62.5,R,-1,63,52
1,5,6,6,4,3,2,45,55,R,-1,43,57
