P,SCORE,VM,MODE,SEX
1,63,1,-1,1
2,54,1,-1,1
3,48,1,-1,1
4,43,1,-1,1
5,53,1,-1,1
6,50,1,-1,1
7,50,1,-1,1
8,51,1,-1,1
9,56,1,-1,1
10,46,1,-1,1
11,55,1,-1,1
12,62,1,-1,1
13,48,1,-1,1
14,59,1,-1,1
15,65,1,-1,1
16,61,1,-1,1
17,52,1,-1,1
18,51,1,-1,1
19,42,1,-1,1
20,51,1,-1,1
21,39,1,-1,1
22,49,1,-1,1
23,53,1,-1,1
24,40,1,-1,1
25,44,1,-1,1
26,44,1,-1,1
27,44,1,-1,1
28,58,1,-1,1
29,54,1,-1,1
30,54,1,-1,1
31,58,1,-1,1
32,54,1,-1,1
33,43,1,-1,1
34,54,1,-1,1
35,46,1,-1,1
36,59,1,-1,1
37,45,1,-1,1
38,45,1,-1,1
39,52,1,-1,1
40,47,1,-1,1
41,57,1,-1,1
42,54,1,-1,1
43,55,1,-1,1
44,51,1,-1,1
45,48,1,-1,1
46,46,1,-1,1
47,55,1,-1,1
48,60,1,-1,1
49,54,1,-1,1
50,44,1,-1,1
51,56,1,-1,1
52,61,1,-1,1
53,51,1,-1,1
54,52.5,1,-1,1
55,45,1,-1,1
56,46,1,-1,1
57,56,1,-1,1
58,50,1,-1,1
59,42,1,-1,1
60,59,1,-1,1
61,37,1,-1,1
62,65,1,-1,1
63,48,1,-1,1
64,59,1,-1,1
65,51,1,-1,1
66,48,1,-1,1
67,60,1,-1,1
68,55,1,-1,1
69,41,1,-1,1
70,55,1,-1,1
71,50,1,-1,1
72,62,1,-1,1
73,48,1,-1,1
74,50,1,-1,1
75,59,1,-1,1
76,54,1,-1,1
77,61,1,-1,1
78,50,1,-1,1
79,49,1,-1,1
80,51,1,-1,1
81,51,1,-1,2
82,48,1,-1,2
83,45,1,-1,2
84,48,1,-1,2
85,68,1,-1,2
86,45,1,-1,2
87,51,1,-1,2
88,54,1,-1,2
89,43,1,-1,2
90,52,1,-1,2
91,49,1,-1,2
92,60,1,-1,2
93,49,1,-1,2
94,51,1,-1,2
95,63,1,-1,2
96,48,1,-1,2
97,54,1,-1,2
98,58,1,-1,2
99,57,1,-1,2
100,67,1,-1,2
101,55,1,-1,2
102,47,1,-1,2
103,50,1,-1,2
104,42,1,-1,2
105,54,1,-1,2
106,44,1,-1,2
107,39,1,-1,2
108,64,1,-1,2
109,56,1,-1,2
110,43,1,-1,2
111,48,1,-1,2
112,42,1,-1,2
113,53,1,-1,2
114,53,1,-1,2
115,37,1,-1,2
116,48,1,-1,2
117,70,1,-1,2
118,58,1,-1,2
119,47,1,-1,2
120,54,1,-1,2
121,57,1,-1,2
122,47,1,-1,2
123,60,1,-1,2
124,51,1,-1,2
125,63,1,-1,2
126,41,1,-1,2
127,47,1,-1,2
128,60,1,-1,2
129,57,1,-1,2
130,62,1,-1,2
131,62,1,-1,2
132,59,1,-1,2
133,66,1,-1,2
134,57,1,-1,2
135,65,1,-1,2
136,60,1,-1,2
137,45,1,-1,2
138,45,1,-1,2
139,55,1,-1,2
140,72,1,-1,2
141,49,1,-1,2
142,56,1,-1,2
143,44,1,-1,2
144,44,1,-1,2
